nct_id,Type,Value,Action
NCT04068103,Northwell Disease Management Team,Gastrointestinal- Colorectal,Add
NCT04398745,Northwell Disease Management Team,Phase 1 Clinical Trials Unit,Add
NCT04079179,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04435756,Northwell Disease Management Team,Genitourinary,Add
NCT04085653,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04469556,Northwell Disease Management Team,Gastrointestinal- Colorectal,Add
NCT01220583,Northwell Disease Management Team,Head and Neck,Add
NCT01076517,Northwell Disease Management Team,Gastrointestinal- Colorectal,Add
NCT01231906,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04659135,Northwell Disease Management Team,Multiple,Add
NCT04166409,Northwell Disease Management Team,Pediatric Oncology,Add
NCT00053352,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04195555,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03213704,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04214067,Northwell Disease Management Team,Gynecological,Add
NCT03218683,Northwell Disease Management Team,Hematologic,Add
NCT04229979,Northwell Disease Management Team,Hematologic,Add
NCT03220035,Northwell Disease Management Team,Pediatric Oncology,Add
NCT00085735,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03223753,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04265534,Northwell Disease Management Team,Thoracic ,Add
NCT03229200,Northwell Disease Management Team,Hematologic,Add
NCT01274338,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03233204,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04284774,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03244384,Northwell Disease Management Team,Genitourinary,Add
NCT04303780,Northwell Disease Management Team,Thoracic ,Add
NCT01117168,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04320888,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03263559,Northwell Disease Management Team,Hematologic,Add
NCT04329494,Northwell Disease Management Team,Gastrointestinal- Colorectal,Add
NCT03269669,Northwell Disease Management Team,Hematologic,Add
NCT00103285,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03284723,Northwell Disease Management Team,Phase 1 Clinical Trials Unit,Add
NCT04387656,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03204916,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04421378,Northwell Disease Management Team,Neuro-Oncology,Add
NCT03206450,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04458831,Northwell Disease Management Team,Hematologic,Add
NCT03210714,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04513925,Northwell Disease Management Team,Thoracic ,Add
NCT03213002,Northwell Disease Management Team,Neuro-Oncology,Add
NCT04586231,Northwell Disease Management Team,Genitourinary,Add
NCT03213652,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03213665,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03213678,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04262336,Northwell Open Sites,Center for Advanced Medicine,Add
NCT03678025,Northwell Open Sites,Center for Advanced Medicine,Add
NCT03414970,Northwell Open Sites,Center for Advanced Medicine,Add
NCT03673501,Northwell Open Sites,Center for Advanced Medicine,Add
NCT03493425,Northwell Open Sites,Center for Advanced Medicine,Add
NCT02987153,Northwell Open Sites,Center for Advanced Medicine,Add
NCT03711032,Northwell Open Sites,Center for Advanced Medicine,Add
NCT03765918,Northwell Open Sites,Center for Advanced Medicine,Add
NCT01076517,Northwell Open Sites,Center for Advanced Medicine,Add
NCT01220583,Northwell Open Sites,Center for Advanced Medicine,Add
NCT03475186,Northwell Open Sites,Center for Advanced Medicine,Add
NCT04000737,Northwell Open Sites,Center for Advanced Medicine,Add
NCT01464164,Northwell Open Sites,CLL Research and Treatment Program,Add
NCT03966053,Northwell Open Sites,CLL Research and Treatment Program,Add
NCT03393884,Northwell Open Sites,CLL Research and Treatment Program,Add
NCT04380805,Northwell Open Sites,CLL Research and Treatment Program,Add
NCT04100018,Northwell Open Sites,CLL Research and Treatment Program,Add
NCT03288545,Northwell Open Sites,CLL Research and Treatment Program,Add
NCT02582879,Northwell Open Sites,CLL Research and Treatment Program,Add
NCT03906071,Northwell Open Sites,Monter and Hearing and Speech Center,Add
NCT03906071,Northwell Open Sites,H and S,Add
NCT03448926,Northwell Open Sites,HH,Add
NCT04267848,Northwell Open Sites,Imbert Cancer Center,Add
NCT04094688,Northwell Open Sites,Imbert Cancer Center,Add
NCT02628041,Northwell Open Sites,Imbert Cancer Center,Add
NCT03881592,Northwell Open Sites,Imbert Cancer Center,Add
NCT02194738,Northwell Open Sites,Imbert Cancer Center,Add
NCT03414970,Northwell Open Sites,Imbert Cancer Center,Add
NCT03578081,Northwell Open Sites,Imbert Cancer Center,Add
NCT02201992,Northwell Open Sites,Imbert Cancer Center,Add
NCT02445391,Northwell Open Sites,Imbert Cancer Center,Add
NCT03493425,Northwell Open Sites,Imbert Cancer Center,Add
NCT02465060,Northwell Open Sites,Imbert Cancer Center,Add
NCT01220583,Northwell Open Sites,Imbert Cancer Center,Add
NCT03698019,Northwell Open Sites,Imbert Cancer Center,Add
NCT03448926,Northwell Open Sites,Imbert Cancer Center,Add
NCT02635009,Northwell Open Sites,Imbert Cancer Center,Add
NCT02193282,Northwell Open Sites,Imbert Cancer Center,Add
NCT02397083,Northwell Open Sites,Lenox Hill Hospital,Add
NCT02628041,Northwell Open Sites,Lenox Hill Hospital,Add
NCT03881592,Northwell Open Sites,Lenox Hill Hospital,Add
NCT03414970,Northwell Open Sites,Lenox Hill Hospital,Add
NCT02734537,Northwell Open Sites,Lenox Hill Hospital,Add
NCT03493425,Northwell Open Sites,Lenox Hill Hospital,Add
NCT02465060,Northwell Open Sites,Lenox Hill Hospital,Add
NCT02953457,Northwell Open Sites,Lenox Hill Hospital,Add
NCT03595059,Northwell Open Sites,Lenox Hill Hospital,Add
NCT03765918,Northwell Open Sites,Lenox Hill Hospital,Add
NCT01220583,Northwell Open Sites,Lenox Hill Hospital,Add
NCT04065555,Northwell Open Sites,Lenox Hill Hospital,Add
NCT03393884,Northwell Open Sites,Long Island Jewish ,Add
NCT02397083,Northwell Open Sites,Long Island Jewish ,Add
NCT04329494,Northwell Open Sites,Long Island Jewish ,Add
NCT03899636,Northwell Open Sites,Long Island Jewish ,Add
NCT03899649,Northwell Open Sites,Long Island Jewish ,Add
NCT03924895,Northwell Open Sites,Long Island Jewish ,Add
NCT02628041,Northwell Open Sites,Long Island Jewish ,Add
NCT03881592,Northwell Open Sites,Long Island Jewish ,Add
NCT04214067,Northwell Open Sites,Long Island Jewish ,Add
NCT04239014,Northwell Open Sites,Long Island Jewish ,Add
NCT03229200,Northwell Open Sites,Long Island Jewish ,Add
NCT04065555,Northwell Open Sites,Long Island Jewish ,Add
NCT04030000,Northwell Open Sites,Long Island Jewish ,Add
NCT04262336,Northwell Open Sites,Monter Cancer Center,Add
NCT03393884,Northwell Open Sites,Monter Cancer Center,Add
NCT04267848,Northwell Open Sites,Monter Cancer Center,Add
NCT03414970,Northwell Open Sites,Monter Cancer Center,Add
NCT03678025,Northwell Open Sites,Monter Cancer Center,Add
NCT02397083,Northwell Open Sites,Monter Cancer Center,Add
NCT03847519,Northwell Open Sites,Monter Cancer Center,Add
NCT03894215,Northwell Open Sites,Monter Cancer Center,Add
NCT03740165,Northwell Open Sites,Monter Cancer Center,Add
NCT03914612,Northwell Open Sites,Monter Cancer Center,Add
NCT02985957,Northwell Open Sites,Monter Cancer Center,Add
NCT04056611,Northwell Open Sites,Monter Cancer Center,Add
NCT03218683,Northwell Open Sites,Monter Cancer Center,Add
NCT04303780,Northwell Open Sites,Monter Cancer Center,Add
NCT04329494,Northwell Open Sites,Monter Cancer Center,Add
NCT04435756,Northwell Open Sites,Monter Cancer Center,Add
NCT04380805,Northwell Open Sites,Monter Cancer Center,Add
NCT04100018,Northwell Open Sites,Monter Cancer Center,Add
NCT03288545,Northwell Open Sites,Monter Cancer Center,Add
NCT04340141,Northwell Open Sites,Monter Cancer Center,Add
NCT04586231,Northwell Open Sites,Monter Cancer Center,Add
NCT03785249,Northwell Open Sites,Monter Cancer Center,Add
NCT03284723,Northwell Open Sites,Monter Cancer Center,Add
NCT03899636,Northwell Open Sites,Monter Cancer Center,Add
NCT03899649,Northwell Open Sites,Monter Cancer Center,Add
NCT04458831,Northwell Open Sites,Monter Cancer Center,Add
NCT04229979,Northwell Open Sites,Monter Cancer Center,Add
NCT02503423,Northwell Open Sites,Monter Cancer Center,Add
NCT04266795,Northwell Open Sites,Monter Cancer Center,Add
NCT04398745,Northwell Open Sites,Monter Cancer Center,Add
NCT04513925,Northwell Open Sites,Monter Cancer Center,Add
NCT02671422,Northwell Open Sites,Monter Cancer Center,Add
NCT03924895,Northwell Open Sites,Monter Cancer Center,Add
NCT03775265,Northwell Open Sites,Monter Cancer Center,Add
NCT04068103,Northwell Open Sites,Monter Cancer Center,Add
NCT04469556,Northwell Open Sites,Monter Cancer Center,Add
NCT04094688,Northwell Open Sites,Monter Cancer Center,Add
NCT03836209,Northwell Open Sites,Monter Cancer Center,Add
NCT02628041,Northwell Open Sites,Monter Cancer Center,Add
NCT03881592,Northwell Open Sites,Monter Cancer Center,Add
NCT04214067,Northwell Open Sites,Monter Cancer Center,Add
NCT02099058,Northwell Open Sites,Monter Cancer Center,Add
NCT04265534,Northwell Open Sites,Monter Cancer Center,Add
NCT03740529,Northwell Open Sites,Monter Cancer Center,Add
NCT03906071,Northwell Open Sites,Monter Cancer Center,Add
NCT04239014,Northwell Open Sites,Monter Cancer Center,Add
NCT01351545,Northwell Open Sites,Monter Cancer Center,Add
NCT04080284,Northwell Open Sites,Monter Cancer Center,Add
NCT03606174,Northwell Open Sites,Monter Cancer Center,Add
NCT03901963,Northwell Open Sites,Monter Cancer Center,Add
NCT03816163,Northwell Open Sites,Monter Cancer Center,Add
NCT02750826,Northwell Open Sites,Monter Cancer Center,Add
NCT02927249,Northwell Open Sites,Monter Cancer Center,Add
NCT03244384,Northwell Open Sites,Monter Cancer Center,Add
NCT03866382,Northwell Open Sites,Monter Cancer Center,Add
NCT03793166,Northwell Open Sites,Monter Cancer Center,Add
NCT02193282,Northwell Open Sites,Monter Cancer Center,Add
NCT02194738,Northwell Open Sites,Monter Cancer Center,Add
NCT03578081,Northwell Open Sites,Monter Cancer Center,Add
NCT02632045,Northwell Open Sites,Monter Cancer Center,Add
NCT03498716,Northwell Open Sites,Monter Cancer Center,Add
NCT03910660,Northwell Open Sites,Monter Cancer Center,Add
NCT03088878,Northwell Open Sites,Monter Cancer Center,Add
NCT02671435,Northwell Open Sites,Monter Cancer Center,Add
NCT03330847,Northwell Open Sites,Monter Cancer Center,Add
NCT03830866,Northwell Open Sites,Monter Cancer Center,Add
NCT03833154,Northwell Open Sites,Monter Cancer Center,Add
NCT03703297,Northwell Open Sites,Monter Cancer Center,Add
NCT03682068,Northwell Open Sites,Monter Cancer Center,Add
NCT03601897,Northwell Open Sites,Monter Cancer Center,Add
NCT02201992,Northwell Open Sites,Monter Cancer Center,Add
NCT02445391,Northwell Open Sites,Monter Cancer Center,Add
NCT02734537,Northwell Open Sites,Monter Cancer Center,Add
NCT03055013,Northwell Open Sites,Monter Cancer Center,Add
NCT02465060,Northwell Open Sites,Monter Cancer Center,Add
NCT03456063,Northwell Open Sites,Monter Cancer Center,Add
NCT02393248,Northwell Open Sites,Monter Cancer Center,Add
NCT03790111,Northwell Open Sites,Monter Cancer Center,Add
NCT02625961,Northwell Open Sites,Monter Cancer Center,Add
NCT03770689,Northwell Open Sites,Monter Cancer Center,Add
NCT02570542,Northwell Open Sites,Monter Cancer Center,Add
NCT02921256,Northwell Open Sites,Monter Cancer Center,Add
NCT03005782,Northwell Open Sites,Monter Cancer Center,Add
NCT03269669,Northwell Open Sites,Monter Cancer Center,Add
NCT03698019,Northwell Open Sites,Monter Cancer Center,Add
NCT03398655,Northwell Open Sites,Monter Cancer Center,Add
NCT03833180,Northwell Open Sites,Monter Cancer Center,Add
NCT00900224,Northwell Open Sites,Monter Cancer Center,Add
NCT00902447,Northwell Open Sites,Monter Cancer Center,Add
NCT01374360,Northwell Open Sites,Monter Cancer Center,Add
NCT02775383,Northwell Open Sites,Monter Cancer Center,Add
NCT04041310,Northwell Open Sites,Monter Cancer Center,Add
NCT04065555,Northwell Open Sites,Monter Cancer Center,Add
NCT04305496,Northwell Open Sites,Monter Cancer Center,Add
NCT03448926,Northwell Open Sites,Monter Cancer Center,Add
NCT02635009,Northwell Open Sites,Monter Cancer Center,Add
NCT04267848,Northwell Open Sites,Monter Cancer Center,Add
NCT04659135,Northwell Open Sites,Monter Cancer Center,Add
NCT04042701,Northwell Open Sites,Monter Cancer Center,Add
NCT04030000,Northwell Open Sites,Monter Cancer Center,Add
NCT03393884,Northwell Open Sites,North Shore University Hospital,Add
NCT02397083,Northwell Open Sites,North Shore University Hospital,Add
NCT04056611,Northwell Open Sites,North Shore University Hospital,Add
NCT03218683,Northwell Open Sites,North Shore University Hospital,Add
NCT03899649,Northwell Open Sites,North Shore University Hospital,Add
NCT04229979,Northwell Open Sites,North Shore University Hospital,Add
NCT02503423,Northwell Open Sites,North Shore University Hospital,Add
NCT04266795,Northwell Open Sites,North Shore University Hospital,Add
NCT03836209,Northwell Open Sites,North Shore University Hospital,Add
NCT04214067,Northwell Open Sites,North Shore University Hospital,Add
NCT02099058,Northwell Open Sites,North Shore University Hospital,Add
NCT04265534,Northwell Open Sites,North Shore University Hospital,Add
NCT03740529,Northwell Open Sites,North Shore University Hospital,Add
NCT04239014,Northwell Open Sites,North Shore University Hospital,Add
NCT03150693,Northwell Open Sites,North Shore University Hospital,Add
NCT03701308,Northwell Open Sites,North Shore University Hospital,Add
NCT03739814,Northwell Open Sites,North Shore University Hospital,Add
NCT02987153,Northwell Open Sites,North Shore University Hospital,Add
NCT03589326,Northwell Open Sites,North Shore University Hospital,Add
NCT00902447,Northwell Open Sites,North Shore University Hospital,Add
NCT01374360,Northwell Open Sites,North Shore University Hospital,Add
NCT03414970,Northwell Open Sites,NWH,Add
NCT03244384,Northwell Open Sites,NWH,Add
NCT03414970,Northwell Open Sites,NWH,Add
NCT02973789,Northwell Open Sites,NWH,Add
NCT03330847,Northwell Open Sites,NWH,Add
NCT03775265,Northwell Open Sites,Phelps,Add
NCT02927249,Northwell Open Sites,Phelps,Add
NCT03414970,Northwell Open Sites,Phelps,Add
NCT02775383,Northwell Open Sites,Phelps,Add
NCT03448926,Northwell Open Sites,Phelps,Add
NCT04659135,Northwell Open Sites,Phelps,Add
NCT02239575,Northwell Open Sites,QMA,Add
NCT04659135,Northwell Open Sites,SIUH,Add
NCT04094688,Northwell Open Sites,SIUH,Add
NCT02445391,Northwell Open Sites,SIUH,Add
NCT02954874,Northwell Open Sites,SIUH,Add
NCT03414970,Northwell Open Sites,SIUH,Add
NCT02194738,Northwell Open Sites,SIUH,Add
NCT02193282,Northwell Open Sites,SIUH,Add
NCT02201992,Northwell Open Sites,SIUH,Add